Epoch1 Loss: 584200.0, New Best Found!!
Epoch463 Loss: 143.97029899944275, New Best Found!!
Epoch464 Loss: 143.8169909698899, New Best Found!!
Epoch465 Loss: 143.66436274122458, New Best Found!!
Epoch466 Loss: 143.51241144021125, New Best Found!!
Epoch467 Loss: 143.36113427002977, New Best Found!!
Epoch468 Loss: 143.21052850848574, New Best Found!!
Epoch469 Loss: 143.06059150616505, New Best Found!!
Epoch470 Loss: 142.91132068452694, New Best Found!!
Epoch471 Loss: 142.7627135339456, New Best Found!!
Epoch472 Loss: 142.61476761169874, New Best Found!!
Epoch473 Loss: 142.4674805399017, New Best Found!!
Epoch474 Loss: 142.3208500034005, New Best Found!!
Epoch475 Loss: 142.17487374761396, New Best Found!!
Epoch476 Loss: 142.02954957634296, New Best Found!!
Epoch477 Loss: 141.88487534953614, New Best Found!!
Epoch478 Loss: 141.7408489810258, New Best Found!!
Epoch479 Loss: 141.59746843623483, New Best Found!!
Epoch480 Loss: 141.4547317298597, New Best Found!!
Epoch481 Loss: 141.31263692352957, New Best Found!!
Epoch482 Loss: 141.17118212345707, New Best Found!!
Epoch483 Loss: 141.03036547807133, New Best Found!!
Epoch484 Loss: 140.89018517564566, New Best Found!!
Epoch485 Loss: 140.75063944193, New Best Found!!
Epoch486 Loss: 140.61172653777695, New Best Found!!
Epoch487 Loss: 140.47344475678622, New Best Found!!
Epoch488 Loss: 140.3357924229524, New Best Found!!
Epoch489 Loss: 140.19876788833722, New Best Found!!
Epoch490 Loss: 140.06236953076152, New Best Found!!
Epoch491 Loss: 139.9265957515211, New Best Found!!
Epoch492 Loss: 139.7914449731383, New Best Found!!
Epoch493 Loss: 139.65691563714404, New Best Found!!
Epoch494 Loss: 139.52300620190275, New Best Found!!
Epoch495 Loss: 139.389715140477, New Best Found!!
Epoch496 Loss: 139.2570409385395, New Best Found!!
Epoch497 Loss: 139.12498209233456, New Best Found!!
Epoch498 Loss: 138.99353710669524, New Best Found!!
Epoch499 Loss: 138.86270449311013, New Best Found!!
Epoch500 Loss: 138.73248276785264, New Best Found!!
Epoch501 Loss: 138.6028704501705, New Best Found!!
